15,0,0,0,0,0,0,0,0
3,0.0,0,9.0,0,9.0,9.0,0.0,9.0
6,9.0,0,12.0,0,12.0,3.0,9.0,3.0
15,12.0,0,19.0,0,19.0,7.0,12.0,7.0
13,19.0,0,28.0,0,28.0,9.0,19.0,9.0
12,28.0,0,31.0,0,31.0,3.0,28.0,3.0
8,31.0,0,36.0,0,36.0,5.0,31.0,5.0
1,36.0,0,56.0,0,56.0,20.0,36.0,20.0
10,0.0,0,6.0,0,6.0,-6.0,0.0,-6.0
4,6.0,0,9.0,0,9.0,-3.0,6.0,-3.0
5,9.0,0,16.0,0,16.0,-7.0,9.0,-7.0
14,16.0,0,19.0,0,19.0,-3.0,16.0,-3.0
7,19.0,0,26.0,0,26.0,-7.0,19.0,-7.0
2,26.0,0,29.0,0,29.0,-3.0,26.0,-3.0
11,29.0,0,34.0,0,34.0,-5.0,29.0,-5.0
9,34.0,0,43.0,0,43.0,-9.0,34.0,-9.0
3529.0,0,0,0,0,0,0,0,0
