30,0,0,0,0,0,0,0,0
4,0.0,0,27.0,0,27.0,27.0,0.0,27.0
29,27.0,0,55.0,0,55.0,28.0,27.0,28.0
28,55.0,0,68.0,0,68.0,13.0,55.0,13.0
21,68.0,0,81.0,0,81.0,13.0,68.0,13.0
25,81.0,0,95.0,0,95.0,14.0,81.0,14.0
2,95.0,0,103.0,0,103.0,8.0,95.0,8.0
30,103.0,0,104.0,0,104.0,1.0,103.0,1.0
3,104.0,0,109.0,0,109.0,5.0,104.0,5.0
10,109.0,0,110.0,0,110.0,1.0,109.0,1.0
7,110.0,0,140.0,0,140.0,30.0,110.0,30.0
18,140.0,0,145.0,0,145.0,5.0,140.0,5.0
5,145.0,0,153.0,0,153.0,8.0,145.0,8.0
26,153.0,0,167.0,0,167.0,14.0,153.0,14.0
6,167.0,0,187.0,0,187.0,20.0,167.0,20.0
12,187.0,0,212.0,0,212.0,25.0,187.0,25.0
24,212.0,0,237.0,0,237.0,25.0,212.0,25.0
14,0.0,0,27.0,0,27.0,-27.0,0.0,-27.0
9,27.0,0,54.0,0,54.0,-27.0,27.0,-27.0
16,54.0,0,75.0,0,75.0,-21.0,54.0,-21.0
20,75.0,0,81.0,0,81.0,-6.0,75.0,-6.0
13,81.0,0,94.0,0,94.0,-13.0,81.0,-13.0
27,94.0,0,108.0,0,108.0,-14.0,94.0,-14.0
19,108.0,0,113.0,0,113.0,-5.0,108.0,-5.0
11,113.0,0,118.0,0,118.0,-5.0,113.0,-5.0
8,118.0,0,138.0,0,138.0,-20.0,118.0,-20.0
23,138.0,0,153.0,0,153.0,-15.0,138.0,-15.0
17,153.0,0,164.0,0,164.0,-11.0,153.0,-11.0
22,164.0,0,190.0,0,190.0,-26.0,164.0,-26.0
1,190.0,0,219.0,0,219.0,-29.0,190.0,-29.0
15,219.0,0,242.0,0,242.0,-23.0,219.0,-23.0
57434.0,0,0,0,0,0,0,0,0
